question_marathi,option_a,option_b,option_c,option_d,subject,exam_type
एका दुध संकलन केंद्रावर ८०५ लिटर गाईचे दुध व ९१५ लिटर म्हशीवे दुध संकलन केले. त्यापैकी,१५७५ लिटर दुधाची विक्री केली तर किती लिटर दुध शिल्लक राहील ? (५,जजन -ब्छेट. १४५ _205_ डड > 2-2,. २१७,... ४४५ _प्-,math,police_bharti
पाच अंकी मोठयात मोठी सम व वार अंकी लहानात लहान विषम संख्यातील फरकातील सर्व,अंकांदी बेरीज पुढीलपैकी कोणती ? 5319 पै,४४,४३ -डदुष्टठठन 4 पेटा घर,प,math,police_bharti
"रंगारावांनी फेब्रुवारी १९९६ मध्ये दररोज दिड लिटर दुध घेतले, दुधाचा दर ३६ रुपये प्रतीलिटर.",होता तर त्यामहीन्यात त्यांनी दुधावे एकुण किती रुपये बिल दिले असेल ? 1२% 9 4. «2-5 6.5,१५१२ -बोट १५६६ ०-८,__ १६२०,१६७४ _ >,math,police_bharti
एका वस्तुच्या किंमतीत सुरुंवातीरा २० टक्के कपात कोली नंतर १९ टक्के वाढ लस त | मुळच्या,किमतीत किती टक्के फरक पडेल ? । न्ग्‌द्रर 1 ह.,अ) १०दक्के कमी,टक्के जास्त 88,१२टव्केकमी१२ टक्के जास्त,math,police_bharti
एक सैनिकी तळावर १०० सैनिकांना १० दिवस पुरेल इतके रेशन डे. आहे.,आणखी ६० सैनिक तळावर येतात. तर राहीलेले रेशन आणखी किती दिवस पुरेल ?,,. ६ नर आ द्‌,५४ जत ऱ्,math,police_bharti
"जगदीश, राजेश व पंकज यांनी सुरु केलेल्या सॉफ्टवेअर व्यवसायात ८४०0०० रुपयाचा नफा झाल","त्यांनी अनुक्रमे २ : ३: ७ या प्रमाणात नफ्याचे वाटप केले, तर राजेशचा वाटा किती रुपये ?",१४०००,- २१००० -&-4 ०००,४९०००२८००० त-००6 *(3,math,police_bharti
"गणपतरावाने २२५० रुपयांचे कर्ज ५ हप्त्यात फेडले, प्रत्येक हप्ता मागील हप्त्यापेक्षा ५० रुपये",अधिक होता तर पहीला हप्ता किती रुपयांचा होता ? 45०. हि,५५०,४५० ४3० १४-5९ ्चाभ< साचते ३५०,४०० तीर.,math,police_bharti
एका शेतात काही गाई व काही गुराखी आहेत. गाई आणि चाचा पायाची एकुण संख्या ९८,आहे व डोक्‍्यांची संख्या २६ आहे तर त्याठीकाणी गाई व गुराखी किती आहेत? (पट्‌,"२४,२",". २०,६ २2-51 4१% 1 व आन.","२७,१ -झ- २३,३ डि ठे",math,police_bharti
एका दौरसावी परीमिती ६०-से.मी. आहे. तर त्याचे क्षेत्रफळ किती चौरस से.मी. आहे ?,-अ- २२५,४७०,,३६०,math,police_bharti
६मीटर लांब व ४ मीटर रुंद अशा खोलीमध्ये २० से.मी. लांब व २० से.मी रुंद मापाच्या किती,फरशा बसतील ? ऱ्ड 0 नी > ०,न मन,<कोर ६००,५००,math,police_bharti
राम पूर्व कडे तोंड करुन उभा होता तो मागे फिरला व पुन्हा उजव्या बाजुने 90१ च्या कोनातून वळला.,तर सध्या त्याचे तोंड कोणत्या दिशेने असेल ? की प,पर्व,पश्‍चिम री. 3,"उत्तरदक्षिण,",reasoning,police_bharti
राहुल हा वर्गामध्ये गुणानुक्रमे नववा असून खालून अडतीसाव्या क्रमांकावर आहे. तर त्या वर्गातील,मुलांची संख्या किती ? -उष्ुलन 4,४५ <-ब्छे- ४६ ए्‌ र ८६,४७,४८. -्श्ल्ऱा,math,police_bharti
झानीण भागात रोजगार निर्म!तीजनक योजना सुरु कराव्यात.,फक्न र योज्य,फ्त ३योज्य,फक्‍त १व ३योज्य,फक्त २ द ३ योज्य,gk,police_bharti
"जर&हा€ पेक्षा जलद धावतो, परंतु 0 एवढा",नाही. तर सर्दात जलद धावणारी व्यकती कोण ? _ ट्‌ स,रि ० न्य ध्य ह,- 8,टभा,reasoning,police_bharti
। पाऊस या शब्दाचे सामान्य रुप कोणते ? ----,[अरा तिसच्या च 3 | [ परका,पाऊस -,पावसाची,पावसाळा,marathi,police_bharti
कंकयीला दशरथने दोन बर दिले. अघोरेखित शब्दाची जात ओळखा,[ल ल चे शब्दबौगी >,नाभ,किगपड गु [न| [सवना,सर्वनाग य,marathi,police_bharti
। 'आडरानात शिरणे' या वाक्यप्रचाराचा योग्य अर्थ सांगा.,गाकडयात शिरणे,बेड पांघरणे,॥ मुळाला सौडून जाणे _,] अज्ञान दाखविणे,marathi,police_bharti
"। स.ला.ते,-स,ला.ना.ते हे प्रत्यय कोणत्या विभकक्‍्तीचे आहेत ?",म [अना,सृत्ीया,चगुर्थी र,पंचमी,marathi,police_bharti
"अनालीचे डोळे माशासारखे आहेत, म्हणुन तिला सर्व ................... म्हणतात.",मूगनयना,गीनाक्षी,[ खनव सुनयना,सुलोचना “उन्नती” या शब्दाचा विरुध्दार्थी शब्द कोणता ? ली| अविनाशी. | अवनती| म्मीती [क | अराचिन,marathi,police_bharti
क गुलाबी उषा म्हणजे परमेश्वराचे ऐम जणू या उदाहरणाचा अलंकार ओळखा.,डी 7 वा 81...” ना तिबाा,उपमा,[रू अइ ्ॅ,दृष्टांत ॥| न,marathi,police_bharti
दर्‍विगु डो [आईक काही जाही,ब डिल्डी कलिल्ल्नानाळटळ्ना [बा चि देशपांड र्त बामन शिरवाडकर,क हल राम आंबा खातो.' या वाक्यातील प्रयोग औळखा. ळक क झर ता,] [बॅन,"जिल डड, ह ह ओऔळखा ?",marathi,police_bharti
] शक्‍य (ब) | प्रयोजक [छी],"मुख्य काळ किती आहेत? ""_ 1७७] [देने 1ढ्ा[केन [",चार पढील केवलप्रयोगी अब्ययांची चुकीची जोडी असलेला पर्याय ओळखा .,"मौनदर्शक -चूप, गप","हर्षदर्शक - वा, अहाहा |[ विर विद्यापीठ प्रसिध्द आहे.” या वाक्याचा प्रय ओळखा. टा.",marathi,police_bharti
पुढील पैकी कोणती फोर्स नक्षलविरोधी कमांडो फोर्स नाही?,ग्रेहाऊंड,सी-६०,फोससंबन,कोब्राहिमोग्लोबिन तयार होण्यासाठी कशाची आवश्यकता असते?,science,police_bharti
महाराष्ट्र राज्यातील सर्वांत मोठा जलविद्यूत प्रकल्प कोणता?,कोयना,भंडारदरा,भिवपुरी,दुधगंगा[७- 5टभ01€0 एपी 01९६1 $टभाशा,gk,police_bharti
मनुअंतर 8) मन्वांतर 0) मन्वंतर 0) यापैकी नाही,"वाचनालय या शब्दाच्या संथीचा विग्रह खालील पैकी कोणता,",वाच1-नालय,वाचन4-आलय,बाचना4--आलयबाचन4-अलय अयोग्य जोडी ओळखा.,math,police_bharti
५ 58) ६ 0) २५ 9) १८,बै.1-12-:::-1249,38) ३६,४८,री 2( ची किंमत काय? थु 3,math,police_bharti
8) २५ 0०५ 0) १२,हा टा |_ _।,! न,0) णः,पाऊस ---> नदी असेल तर॒ ? ---> अवजार?,gk,police_bharti
मुंबई 8) पुणे 0) नागपूर 0) नाशिक,पुढीलपैकी कोणत्या ठिकाणी मुंबई उच्च न्यायालयाचे खंडपीठ बसत नाही ?,मुंबई,नागपूर,पुणेऔरंगाबाद महाराष्ट्र पोलीसांचे ब्रिदवाक्य कोणते ?,gk,police_bharti
राष्ट्रसेबा जनसेवा 0) सदैव सेवेत,महाराष्ट्राचा क्षेत्राफळानुसार सर्वात मोठा जिल्हा कोणता ?,नाशिक,अहमदनगर,लातूरजालना शुन्याचा शोध कोणी लावला?,gk,police_bharti
खालील पेकी योग्य विराम चिन्ह असलेले वाक्य ओळखा.,"सोड, मला! तो जोराने ओरडला","सोड मला, तो जोराने ओरडला.","“सोड मला."" तो जोराने ओरडला.",“सोड मला?” तो जोराने ओरडला,marathi,police_bharti
खालील पेकी अशुदध शब्द ओळखा,शिपाई,शुद्दीपत्र,सिह,स्मृती,marathi,police_bharti
"2224, ४४४७, १९3९3१९. ?",४७७),19009४,2ए्ट्रा),2९९४2. डी,gk,police_bharti
8) १० (७2 0) ६२,टेलिस्कोप : तारे :: मायक्रोस्कोप : ?,सुं,चंद्र,संटेलाईटबॅक्टेरिया (1६4) [७- 5टभ01€0 एपी 01९६1 $टभाशा,gk,police_bharti
खालीलपैकी कोणत्या ठिकाणी पोलीस आयुक्तालय नाही?,सोलापूर,नाशिक,अमरावती,नांदेड,gk,police_bharti
व्हीटॅमीन सी कोणत्या फळात सर्वात जास्त आढळते?,र,संत्री,गाजर,केळटरबूज,gk,police_bharti
आजपासून पाच वर्षांपुवी मोहन आणि त्याचा मुलगा रवि यांच्या वयाची बेरीज,२4 मोहनच्या आजच्या वया इतकी असेल तर रविचे आजचे वय काय आहे. ? ञ्ऱ्ऱ ।,५ वर्षे,६१० वर्षे,१५ वर्षे२० वषे त टि 0४8० का श्र र्ट ट्र १? न -£ 1 शी 600१र्म,math,police_bharti
इंदोरा गांधो - शक्‍तोस्थळ 0) लाल बाादूर शास्त्रा - बिजप घाट,- लत कपी तालुक्यांची संख्या असणारा जिल्हा कोणता ? टे ळे,नंदुरबार,हिंगोली,बाशिम,math,police_bharti
"8.8.1 ७) १४9/२9 €) सावकार ७) 1१.8.,",_55. २१ जून हा दिवस जागतीक स्तरावर काय म्हणून साजरा केला जातो. ?,अमंलोपदार्थ विरोधी दिन 94 योग दिन,लोकसंख्या दिन,शांतंता दिन,math,police_bharti
हॉसिणो 0) यापैकी नाही,शब्दांची रुपे दोन्ही लचनो सारखीच असतात ?,सासु,बासरु,बहीण बिभक्‍्तोचे दोनी प्नातोल प्रत्यष सारखेच आहेत ?,marathi,police_bharti
खोलोलपैकी योग्य शब्द ओळखा ?,कोटयाघोश,कोटयघौश,कोट्याधिश,कोट्यधिश,marathi,police_bharti
पराधोन 9) पारतंत्र €) पराबलंबी ._ 09) पतिष्ठॉपित,",_93. सर्वत्र सारखी परिस्थितो असणे ' यासाठी खालील दिलेल्या म्हणोतून ग्रोग्प म्हण निवडा ऱ् क्ल्य",पदरी पडले पते | पाने तीन,लच दिवस 0 अल्क करणे,लागन करणे हैएखादया गोष्टीवर केलेलो खोचक टोका $5टक्षा&4 एप 0क्षो5$टक्षाक्ष,science,police_bharti
१६ र) ६८५ ३) ४:५ ४) १:११,ने,"- 'ब' हा 'अ' ला म्हणाला की तुझी आई माझ्या आईची सुन आहे, तर 'ब' ची मुलगी “अ” च्या भावाची कोण? से भाची",आत्या,बहीणमावद्ची,reasoning,police_bharti
"रुपेश, दिनेश व महेश यांचे सरासरी वजन १५ किलो आणि त्यांच्या वजनाचे गुणोत्तर अनुक्रमे","२:३:४ आहे तर रुपेश, दिनेश, महेश यांचे वजन किती ? र ३१०,१५,२०",र १५२०,"१०,२०, १५","२०,३०,१५",math,police_bharti
मंगळवार २) बुधवार &) सोमवार ४) शनिवार,"क खेळाडूचा खालून २० वा आणि वरून २५ वा क्रमांक आहे, तर त्या स्पर्धेत एकूण किती खेळाड १ ह हो चि",४५,४६,डेरे,reasoning,police_bharti
गटात न बसणारे पद ओळखा -,कापूस,नायलॉन,रेशीम,ताग,gk,police_bharti
प्रश्नात दिलेल्या विशिष्ट गटातील शब्दांचा योग्य क्रम लावल्यास मधोमध कोणता शब्द येईल? -,"दतक, सहस्त्र, दशक, लक्ष, दशसहस्त्र /&0 सहस्त्र",शतक,दशसहस्त्र,दशकएका सांकेतिक भाषेमध्ये (1(श९ाऱा' : &€न ४131911950) असेल तर 0७1: इ शे,marathi,police_bharti
दोन स्वरांचे एकत्रीकरण ४) व्यंजनामधून स्वर काढून टाकणे,पुढील पैकी संयुक्त स्वर कोणते ?,"आ, ई, ऊ, ओ","अ, इ; ई> :ड","अबक क,च्‌,त्‌,ट,प्‌ यागटातील व्यंजनांना काय म्हणतात?",marathi,police_bharti
यगईंच्या किल्याचा प्रकार फोणतला ?,,गिरिदुर्ग,भूईकोट,डॉगरी कल्ला 131 स्दीपदर्ग,math,police_bharti
कललम 34 2 क,जत मोरी क,कलम 423,कतलम 234,कतलम 324 गो | भारताचे जलपुरूष या नाषाने. ओळखले जाणारे - यांनी राजस्थान येथे जलक्रांती घडवून आणली.,gk,police_bharti
इंग्रज- फ्रेंच 1) इग़रज्- पोतुगीज ९) फ्रेच-डच 13) फ्रेंच -पोर्तुगीज,वेशच्वाचे इंग्रजांशी तैनाती फीजेचा करार केला.,माई माघद्यराव,घेशदे नानामाहेच,दुसरा द्याजीराय,marathi,police_bharti
11 मिली व्होल्ट ऱू्‌ ह न,णी,10९७,101७,10” ७,gk,police_bharti
। अ दलन तरंग प्रसरणाच्या दिशेने ल॑ब्चत असलाल न्यास - म्हणतात.,_,अनुतरंग,अवतरंग,तरगलार्डी!तरंगकाल,marathi,police_bharti
। जल्द्धेष (113 0170901॥0019) हे कोणत्या मेगाचे महत्वाचे लक्षण आहे?,____॥4) इंग्यू,म्दाइंन फत,र्दीज,"दृदयचिफार बा| समस्यानिकामध्ये असले.न्यूट्रॉनाची संख्या समान, परंतू प्रोर्टोनची मंख्या भिन्न",math,police_bharti
ब्दीपकल्प * या शब्दाचा अर्थ असलेला खालील योग्य पार्याय निवडा.,4») ज्याच्या तीन बाजूंना पाणी आहे असा प्रदेश,दोन नदयामधील प्रदेश.,चारही बाजुंना पाणी असलेले,बोटी थाचण्याचे च मुटण्याचे टिकाण,marathi,police_bharti
तिने अर्थत जिंकली पण बदशीस मिळाले नाही.,___।,उद्गारचिन्,अचतरणांसून,अर्घयिराम-,marathi,police_bharti
खालीलपैकी कोणत्या पणास *सर्ल्स 'पण॑ म्हणतान. र,____।4*)दत्य ख्र्णा,तात्लच्य चरण __ €,दॅतनातलच्य खर्णी,मुपंन्य चण,marathi,police_bharti
खालीलपैकी शब्दांची कोणली जात अधिकारी आह.,,र्चनाम,चिशषण,क्रियापद _क्रियाचिशेषणण अच्यय__,marathi,police_bharti
"वाक्याच्या शैवटी तपशील दयाययाचा असल्यास, पुढीलपैकी कोणते विरामचिन्ह वापरतात?",अपूर्ण विराम,लोप चिन्ह,मंयोग चिन्हे,अपसरण चिन्ह यहा | खालीलपैकी व्याकरण दृष्ट्या शुद्ध शब्दाचा पर्याय निवडा.,marathi,police_bharti
"एका यस्तूवर दृकानदार ग्राहाकास 8% सूट देतो, तरीही त्यास 15% नफा होतो. नी न्षो","पस्तूची छापील किमत 1750 रुपये असेल, तर ली घस्तू दुकालदाराने किली किमतीतला खेडी केली असेल?",1200,1400,15001800,math,police_bharti
(४.8) ६5 (2015 च ?,16 ४20,0,"23"" ५101",0।,gk,police_bharti
1०.०० मी.लांबीच्या तारेतून 9 सेमी ज्‌ तुफडा कापून घेतल्यास उरलेल्या तारेची लांची किली,असला?,9.09 मी.,.५ मी.,"0.99 मी.9.00 मी. जो शी 1 पुढील संख्यांचे मध्यमान किली? ग 45.25, 10.35,20,25,44",math,police_bharti
इंद्रजितने एक वस्तू 1308 रुपयांस विकल्याने शैकडा 9 नफा झाला तर वस्तुची खरेदी किंमत,किती? 4“) ।॥50₹रु,1200 रु,1100 रु,४00 रु,math,police_bharti
। फत्फार उदात राजापठ एठारडा पएफ्फत्ा,वरील इंग्रजी अक्षरमाला पाहून गटातन बसणाऱ्या जोडीचा पर्याय क्रमांक लिहा.,1,177,“७1:1९1५,reasoning,police_bharti
एका रांगेत मिनाक्षी डावीकडून 12 व्या स्थानी उभी आहे.तिच्या उजवीकडे 4 थ्या क्रमांकावर,उभ्या असणा-या मीराचा उजवीकडून 10 चा क्रमांक आहे.तर रांगेत एकूण मुली किली ? ्,24,35,25 एका वर्षी । ऑगस्टला गुरुवार होता तर त्याच वर्षातील बालदिन कोणत्या वारी आला असेल?,reasoning,police_bharti
खालील संख्या मालिकेत प्रश्‍नचिन्हाच्या जागी कोणती संख्या येईल ?,"7, 26, 124, ?, 1330",511,90०९) 342,729,reasoning,police_bharti
पहिल्या दोन संख्यांचा समसंवंच लक्षात घेऊन ननॉपळचया ब्न्मौ,86३9 २:58 कशात घेऊन प्र: टिकाणी येणारी संख्या शोधा. न,30,32 ९0034 _ पा,- __1)36 सकाळी कल वाजल्या पासून दुपारी 2 वाजे पर्यंत मिनिटिकाटा लार काटयाला किली पेला ओलांडतो?,math,police_bharti
"एक माकड 10 मिटर खांबावर एका प्रयत्नात 2 मिटर यर चढते य 1 मिटर खाली घसरते, त्या",माकडाला 10 मिटर खांबावर सर्वप्रथम पोहचण्यास किती प्रयत्न करावे लागतील ? की 11,15,85,9,math,police_bharti
"। 0०8, 51.0४ < 64, €01<>27,तर ?एास्टाहव्डाटच्? र",”,512,517,530542,gk,police_bharti
"। जर *मगन* हा शब्द 527 असा लिहिला, *गरज* हा शब्द 246 असा लिहिला य *मकर' हा",शब्द 347 असा लिहिला. लर त्या भाषेत *गरम* हा शब्द कसा लिहाल ?,257,२243,2२417245,marathi,police_bharti
सकाळी 10.30 भिनीटांनी निघालेला लाशी 24 कि.मी. येगाने घायणारा सायकल स्वार प्रत्येक,"तासाला 10 मिनीटे विश्रांती घेतो, लर 120 कि.मी. अंतरावरील गांवी तो किती वाजता पोहचेल?",2.20 दाजता,3.10 घाजता,1.30 वाजता2.10 पाजता [७- 5टभ01€0 एपी 01९६1 $टभाशा,math,police_bharti
".. 18 16, 28, शे, 200",120,115,72,10,gk,police_bharti
सर्व मासे कासव आहेत. काही गगर मारो आहेत.,निष्कर्ष :-,काही मगर कासव आहेत.,कोणतेही कासव मगर नाही.,निष्कर्षयोग्यनिष्कर्षयोग्यदोन्ही योग्यएकही नाही.,reasoning,police_bharti
मीना ब टीना यांच्या आजच्या वयाचे गुणोत्तर अनुक्रमे 8 : 9 आहे. व त्यांच्या वयाची बेरीज 42 वर्ष असल्यास,मीनाचे आजपासुन पुढे 5 वर्षांनी वय खालीलपैकी किती अरोल ? 1,16 वर्ष,श॑ वर्ष,15 बर्ष20 वर्ष,math,police_bharti
"तिन दिवे अनुक्रमे 15, 18 आणि 20 सेकंदाच्या अंतराने चमकतात तर ते तिन्ही दिवे एकत्र चगकायला किती वेळ लागेल ?",4 मीनिट,3 मीनिट,7 मीनिट,$ मीनिट,math,police_bharti
अनुच्छेद 3 ब) अनुच्छेद 34 भेळ ड) अनुछेद 35,आमपंचायत सदस्यसंख्या कमीतकमी... .... ते जास्तीतजास्त... इतकी असते? औञते15,8ते 18 को&ते16 डो7ते17 कृष्रोगाला दुसऱ्या कोणत्या नावाने ओळखतात ?,हॅनसेन विकार,हॉगकीन विकारहेपाटेटिसहिमोक्रोगॉटिसिस महाराष्ट्र गुप्तवार्ता प्रबोधनी कुठे आहे ?,math,police_bharti
लोथल हे शहर तेथील प्राचीन ....प्रसिद्ध आहे.,£0 शेतीसाठी,गोदीसाठी,कापडासाठी,हत्यारांसाठी.,marathi,police_bharti
जगप्रसिद्ध कैलास मंदिराची निर्मिती ........काळात झाली.,चालुक्य,पल्लब,चोल,राष्ट्रकुट.,marathi,police_bharti
राजा राम मोहन दाय यांनी .......... प्रथेविरुद्ध ईंग्रजी भाषेत पत्र लिहिले.,जातीप्रधा,बालविवाह,सती,पडदा पद्धती.,gk,police_bharti
डॉ. बी. आर.आंबेडकर यांनी संविधानाच्या कोणत्या कलमास भारतीय संविधानाचा आत्मा,आहे?,कलम 19,कलम 21,कलम 51कलम 32.,gk,police_bharti
भारतात केंद्रीय कॅबिनेटचे अध्यक्ष कोण असतात ?,राष्ट्रपती,लोकसभा,सभापती,पंतप्रधान.,gk,police_bharti
"वेगळा घटक ओळखा,",भारतीय वनस्पती -,देवदार,अंजन,ऑर्किडवड,science,police_bharti
खालीलपैकी कोणती नदी ही गोदावरी नदीची उपनदी नाही ?,मांजरा,वैनगंगा,पैनगंगा,पंचगंगा.,gk,police_bharti
कार्य घडून येण्यासाठी ऊर्जा...... व्हावी लागते.,स्थानांतरित,अभिसारित,क्यांतरित,नष्ट,math,police_bharti
मानवी शरीरात पित्त हे ................या अवयवात तयार होते.,मूत्रपिंड,लाळ ग्रंथी,यकृत,फुप्फुस,science,police_bharti
खालीलपैकी कोणते राज्य दिव्यांग विभाग स्थापन करणारे पहिले राज्य आहे ?,कर्नाटक,महाराष्ट्र,उत्तर प्रदेश,हरियाणा,gk,police_bharti
प्रोजेक्ट चित्ता अंतर्गत कोणत्या देशातून भारतामध्ये चित्ते स्थलांतरित करण्यात आले आहेत?,इराण,नामिबिया,रांझानिया,नायजेरिया,gk,police_bharti
खालीलपैकी कोणता देश हा सार्क चा सदस्य नाही.,नेपाळ,मालदीव,चीन,अफगाणिस्तान,gk,police_bharti
96 बे अखिल भारतीय मराठी साहित्य संमेलन कोठे पार पडले ?,नागपूर,वर्धा,चंद्रपूर,यवतमाळ,gk,police_bharti
