Paper,Question_Number,Question_Text,Option_A,Option_B,Option_C,Option_D,Subject,Raw_Options_Text
Ahmednagar_Police_Paper,5,"तीन संख्याची सरासरी 30 आहे त्यांपैकी दुसरी संख्या पहिलीपेक्षा 3 ने जास्त परंतु, तिसरी पेक्षा 6 ने लहान",आहे तर दुसरी संख्या कोणती ?,25,28,2२729,,आहे तर दुसरी संख्या कोणती ? &*) 25 ४) 28 0०) 2२7 0)29
Ahmednagar_Police_Paper,6,खालील अंकमालीकेतील प्रश्‍नचिन्हाच्या जागी कोणती संख्या येईल?,"9, 10, 13, 18,25,? /0 34",40,38,367कपव5 बशींची एकुण किंमत 81 रुपये आहे. 5 कप व? बीची एकुण किंमत 75 रुपये आहे तर । कप व 1 बशीची किंमत किती ? र क12 रुपये13 रुपये14 रुपये15 रुपयेआगरतळागंगटोक आहे? १ |भे (१ 1जऐजॉल -अमेरीका कोणत्या देशात आहे? ह,,"9, 10, 13, 18,25,? /0 34 9) 40 (7) 38 0)36 (>) 7कपव5 बशींची एकुण किंमत 81 रुपये आहे. 5 कप व? बीची एकुण किंमत 75 रुपये आहे तर । कप व 1 बशीची किंमत किती ? र क *) 12 रुपये ४) 13 रुपये ९) 14 रुपये 0)15 रुपये ) आगरतळा ) गंगटोक आहे? १ | 8) भे (१ 1ज ) ऐजॉल - “) अमेरीका कोणत्या देशात आहे? ह"
Ahmednagar_Police_Paper,9,ब्रिटन,षि कलन 6 तडे,जर्पनौ,नेदरलँड सस ने अको | ल हे ठिकाण कोणत्या तालुक्यान आहे १,,,षि कलन 6 तडे ९) जर्पनौ 0) नेदरलँड सस ने अको | ल हे ठिकाण कोणत्या तालुक्यान आहे १
Ahmednagar_Police_Paper,30,सुरजाणहडे मि म ९) राहेता 0) नेवासा,सुरजञाः गडचिरोली कोणत्या श न तट ल खनिजासाठी प्रसिध्द: आहे ?,,,,,सुरजञाः गडचिरोली कोणत्या श न तट ल खनिजासाठी प्रसिध्द: आहे ?
Ahmednagar_Police_Paper,0,लोह 0) मँगनीज,"ला1नी,1 ला[२नी,.1' ला0नी,",,,,,"ला1नी,1 ला[२नी,.1' ला0नी,"
Ahmednagar_Police_Paper,5,"एटठारा)1ः : नी, तर 1५11२0101८: हा शब्द कमा लिहाल ?",(२,ए८०भा09राः,प८०नाप्शार,एटा,,(२ 9) ए८०भा09राः ८) प८०नाप्शार 9) एटा
Ahmednagar_Police_Paper,52,केलकीचा वाढदिवस मंगळवारी,"या वाढदिवस हा 4 जुलैला, मंगळवारी असतो. जेर त्याच वर्षांत आयुष हा 15 ऑग्टल्ग जन्मला असल, तर तो कोणता दिवस असेल ? 5») शनिवार",बुधवार,मंगळवार,गुख्वार,,"या वाढदिवस हा 4 जुलैला, मंगळवारी असतो. जेर त्याच वर्षांत आयुष हा 15 ऑग्टल्ग जन्मला असल, तर तो कोणता दिवस असेल ? 5») शनिवार 9) बुधवार €) मंगळवार 0) गुख्वार"
Ahmednagar_Police_Paper,53,समजा तुप्ही वायव्य दिशेस तोंड करून उभे आहात. प्रथम तुम्ही डावीकडे एक्य काटकोनात वळलात.,नंतर उजवीकडे दोनदा काटकोनात वळलात. तर आता तुमचं तोंड कोणत्या दिशेल्य येईल ?,,,,,नंतर उजवीकडे दोनदा काटकोनात वळलात. तर आता तुमचं तोंड कोणत्या दिशेल्य येईल ?
Ahmednagar_Police_Paper,5,इशान्य ७) वायव्य €) अग्नेय 0) नैक्रत्य,,,,,,
Ahmednagar_Police_Paper,54,खाली एक अंक मालिका दिलेली आहे. त्यातील प्रत्येक अंक एका नियमाला वरून आलेला आहे. तर,"या अंक मालिकेत न वसणारा अंक ओळखा. 5, 13, 29, 63, 125",13,१9,63125सोबतच्या सारणीत शब्द व प्रत्येक ओळीत दिलेले त्यांचे विस्कळीत केलेले संगत अंक संकेत अभ्यासा भाणि त्यातून उपलब्य झालेल्या माहितीबद्दूलचे सत्य विधान निवडा. घच सा टार&ा _35924 ९२% | 283917 /02हा* चातर3 हा 1 चा संकेत आहे.,,"या अंक मालिकेत न वसणारा अंक ओळखा. 5, 13, 29, 63, 125 &) 13 छ) १9 ९) 63 1) 125 (63) सोबतच्या सारणीत शब्द व प्रत्येक ओळीत दिलेले त्यांचे विस्कळीत केलेले संगत अंक संकेत अभ्यासा भाणि त्यातून उपलब्य झालेल्या माहितीबद्दूलचे सत्य विधान निवडा. घच सा टार&ा _35924 ९२% | 283917 /02हा* चातर3 हा 1 चा संकेत आहे."
Ahmednagar_Police_Paper,9,3 हा १ चा 4हा । चा संकेत आहे.,"७४ चा संकेत निश्‍चित आहे, पण ए चा संकेत खत्नीचा नाहं.",,,,,"€) ७४ चा संकेत निश्‍चित आहे, पण ए चा संकेत खत्नीचा नाहं."
Ahmednagar_Police_Paper,0,"7४ चा संकेत खात्रीचा आहे, पण 1४ चा संकेत निश्‍चित नाही.",६॥०?९३3६९,,,,,६॥०?९३3६९
Ahmednagar_Police_Paper,32,खालील पैकी कोण सध्याचे महाराष्ट्र विधानसभा अध्यक्ष आहेत १ बि नि,,,,,,
Ahmednagar_Police_Paper,१,मिलींद भावँंकर 9) राहुल नावेकर €) संजय नावेकर,,,,,,
Ahmednagar_Police_Paper,33,संगमनेर व नेवासा हि गावे कोणत्या नदीच्या काठी वसली आहेत?,गोदावरी,मुळा,,,,&) गोदावरी ४) मुळा
Ahmednagar_Police_Paper,९,प्रवरा 0) मुग,,,,,,
Ahmednagar_Police_Paper,34,16 जुन 1674 रोजी कोणत्या गडावर शिवरायांचा राज्याभिषेक संपन्न झाला?,राजगड,शिवनेरी,प्रतापगड,रायगड,,*) राजगड 8) शिवनेरी ९) प्रतापगड 1) रायगड
Ahmednagar_Police_Paper,35,सध्या देशाचे भूदल प्रमुख कोण आहेत १,मनोज पांडे,विपीन शवत. जे. जे. सिंग,बी.सी. जोशी,,,/) मनोज पांडे 8) विपीन शवत. जे. जे. सिंग 0) बी.सी. जोशी
Ahmednagar_Police_Paper,36,अजिंठा व वेरुळ हि भारतातील प्रसिध्द स्थळे कोणत्या जिल्ह्यात येतात ?,,,,,,
Ahmednagar_Police_Paper,5,अहमदनगर 9) नाशिक ९) औरंगाबाद 0) बीड,,,,,,
Ahmednagar_Police_Paper,37,रातांघळेपणा कोणत्या जीवनसत्वाच्या आभावामुळे होतो ?,,,,,,
Ahmednagar_Police_Paper,१,") ""क"" जीवनसत्व 8) ""अ"" जौवनसत्य (९) 'ड"" जीवनसत्व 0) ""ब"" जीवनसत्वे",,,,,,
Ahmednagar_Police_Paper,३8,खालील पैकी कोणते शास्त्रज्ञ सापेक्षतावाद सिध्दांतशी संबंधित आहेत ?,,,,,,
Ahmednagar_Police_Paper,5,एडिसन 9) राईट बंधु 0) न्युटन 9) आइनस्टाइन,,,,,,
Ahmednagar_Police_Paper,39,महाराष्ट्र पोलीस अँकेंडमी खालील पैकी कोणत्या शहरात आहे?,,,,,,
Ahmednagar_Police_Paper,4,दौंड 8) नाशिक 0) मरोळ 0) नबौ मुंबई,,,,,,
Ahmednagar_Police_Paper,40,खालील पैकी कोणते रशियाचे चलन आहे?,सर्बल,डॉलर,दिना,,,&) सर्बल 8) डॉलर ९) दिना
Ahmednagar_Police_Paper,0,युत्रान,,,,,,
Ahmednagar_Police_Paper,41,"एखादे विधेयक अर्थविषयक आहे किंवा नाही, हे ठरविण्याची अधिकार कोणास असतो?",राष्ट्रपती,लोकसभा अध्यक्ष,लोकसपा,राज्यसभा (ट्र) रतीय घटनेच्या कितव्या कलमा नुसार भारतात निवडणुक आयोगाची रचना ळरण्यात आली आहे 1280268324371 छा हरीप्रसाद 'चौरासिया हे कोणत्या वाद्याशी संबधीत आहेत ?शहनाईसबलासतारबापरी,,&) राष्ट्रपती 8) लोकसभा अध्यक्ष ८९) लोकसपा 0) राज्यसभा (ट्र) रतीय घटनेच्या कितव्या कलमा नुसार भारतात निवडणुक आयोगाची रचना ळरण्यात आली आहे 1 &) 280 98) 268 ९) 324 ७) 371 छा हरीप्रसाद 'चौरासिया हे कोणत्या वाद्याशी संबधीत आहेत ? >) शहनाई 8) सबला () सतार 10) बापरी
Ahmednagar_Police_Paper,44,पदावर असतांना मृत्यु पावलेले 'पारताचे पहिले पंतप्रधान कोण आहेत?,,,,,,
Ahmednagar_Police_Paper,4,इंदिरा गांधी ७) जवाहरलाल नेह ८0) राजीव गांपो 9) पी.व्है. मरसिंहराव,,,,,,
Ahmednagar_Police_Paper,45,आग्रा हे शहर कोणत्या नदी काठी वसले आहे १,,,,,,
Ahmednagar_Police_Paper,4,साबरमतो छ) गंगा 0) यमुना 0७) नर्मदा,इंडीयन सायन्स काँग्रेसचे 108 वे संमेलय कोठे आयोजीत करण्यात आले होते १ 40 मंबई,नागपुर,औरंगाबाद,पुणे 4|9०६९,,(16) इंडीयन सायन्स काँग्रेसचे 108 वे संमेलय कोठे आयोजीत करण्यात आले होते १ 40 मंबई 8) नागपुर 0) औरंगाबाद 13) पुणे 4|9०६९
Ahmednagar_Police_Paper,65,एका छायाचित्राकडे,"(शण रड पाहत एक याणुस म्हणाला, “त्या माणेसाचा बाप, माझ्या बापाचा मुलगा आहे. भला भाऊ 1 बहिण नाहीत."" छायाचित्रातील व्यक्तीचे त्या माणसाशी नाते कोय ?",,,,,"(शण रड पाहत एक याणुस म्हणाला, “त्या माणेसाचा बाप, माझ्या बापाचा मुलगा आहे. भला भाऊ 1 बहिण नाहीत."" छायाचित्रातील व्यक्तीचे त्या माणसाशी नाते कोय ?"
Ahmednagar_Police_Paper,5,मुलगा 9) मुलगी €) भाऊ 0) काका,,,,,,
Ahmednagar_Police_Paper,6७,"2, र ?, 126, 217, 344 दिलेल्या मालिकेतील प्रश्‍नेचिन्हाऐवनी ठेवण्यासाठी सर्वात उचित तर्कसंगत",पर्याय निवडा.,,,,,पर्याय निवडा.
Ahmednagar_Police_Paper,4,50 10) 65 ९)? 1) 82,,,,,,
Ahmednagar_Police_Paper,67,पुढील श्रेणी पुर्ण करण्यासाठी योग्य पर्याय निवडा.,९०९७७_॥०_0०_७७७३३3_ ८ ०५८९७८,७०१७६ टो७१०९०,१८७२,,,९०९७७_॥०_0०_७७७३३3_ ८ ०५८९७८ ७)७०१७६ टो७१०९० 0) १८७२
Ahmednagar_Police_Paper,68,पेघाने एका स्पर्या परिक्षेत ।00 प्रश्‍न सोडविले. बरोबर उत्तरासाठी 3 गुण दिले जातात आणि चुकीच्या,"उत्तरांसाठी 2 गुण वजा केले जातात. मेघाला एकूण 150 गुण मिळाले, तर तिच्या बरोबर उत्तरांची संख्या किती?",,,,,"उत्तरांसाठी 2 गुण वजा केले जातात. मेघाला एकूण 150 गुण मिळाले, तर तिच्या बरोबर उत्तरांची संख्या किती?"
Ahmednagar_Police_Paper,0,70 ०) 50 टोला 0) 75,,,,,,
Ahmednagar_Police_Paper,69,"एका सांकेतिक भाषेत १1(0)९10 /.५' हा शब्द ॥॥१९०11 असा लिहिला जातो, तर त्याच सांकेतिक भाषेत",101250) १ हा शब्द फ़सा लिहाल ?,,,,,101250) १ हा शब्द फ़सा लिहाल ?
Ahmednagar_Police_Paper,8,मपरळेछ 9 १रछछ ९)फताएठ०७७ ७) ४९7008,,,,,,
Ahmednagar_Police_Paper,70,30 दिवसांच्या एका पहिन्यात पाच शनिवार आहेत. त्या महिन्याचा प्रथम दिवस कोणता असेल ?,रविवार,सोमवार,बुघचार,शुक्रवार,,*) रविवार 1) सोमवार €) बुघचार 0) शुक्रवार
Ahmednagar_Police_Paper,71,मारूती व त्यांच्या चार मुलांच्या वयांची स्पएसरी 1४ आहे. सर्वांत लहान पुलाचे वय 8 वर्ष आहे.,मुलांमध्ये 2-2 वर्षांचे अंतर आहे. 'तर मारूसीचे वय किती ?,,,,,मुलांमध्ये 2-2 वर्षांचे अंतर आहे. 'तर मारूसीचे वय किती ?
Ahmednagar_Police_Paper,१0,. 44 9) 46 ९) 48 1)) 50,,,,,,
Ahmednagar_Police_Paper,72,ताशी सरासरी 45 कि.मी. वेगाने जाणारी एक ट्रेन निर्वारित ठिकाणी निर्धारित वेळेत पोहोचते. जर ती,"ताशी सरासरी 54 कि.मी. वेगाने गेल्यास निर्धारित वेळेपेक्षा 20 पिनिटे लवकर पोहचते, तर तिने कापावयाचे एकूण अंतर किती ?",,,,,"ताशी सरासरी 54 कि.मी. वेगाने गेल्यास निर्धारित वेळेपेक्षा 20 पिनिटे लवकर पोहचते, तर तिने कापावयाचे एकूण अंतर किती ?"
Ahmednagar_Police_Paper,5,"!80 कि.मी. ७) 270 कि.मी. 0) 75 कि.मो. 1) 90 कि.मी,",,,,,,
Ahmednagar_Police_Paper,73,"खालील अंकमाला पाहा, तिच्यामध्ये असे किती '8' आहेत झी, ज्या '६' नंतर लगेचच '3' आलेले आहेत,",परंतु '3' पुढे लगेचच '5* आलेले नाहीत ? ४3083528328358360835६34584 3,4,5,2२,,परंतु '3' पुढे लगेचच '5* आलेले नाहीत ? ४3083528328358360835६34584 3 ७) 4 ९)5 0७) 2२
Ahmednagar_Police_Paper,74,"एका सांकेतिक भाषेत गाजर हा शब्द ५591, सुगावा हा शब्द 441, आणि चानर हा शब्द १48 असा लिहिल्यास",सुरज हा शब्द कसा लिहिला जाईल? टं ग,147,4६7.,"798791 ठा । । ""ज्ञान ५ कीं भे रः म 1. नि प",,"सुरज हा शब्द कसा लिहिला जाईल? टं ग &) 147 ७) 4६7. €)798 ७) 791 ठा । । ""ज्ञान ५ कीं भे रः म 1. नि प"
Ahmednagar_Police_Paper,65,"एका छायाचित्राकडे पाहत एक माणुस म्हणाला, ""त्या माणसाचा वाप, माझ्या बापाचा मुलगा आहे. सला भाऊ","आणि बहिण नाहीत."" छायाचित्रातील व्यक्तीचे त्या माणसाशी भाते काय ?",मूलगा,मुलगी,भाऊकाका,,"आणि बहिण नाहीत."" छायाचित्रातील व्यक्तीचे त्या माणसाशी भाते काय ? ) मूलगा 9) मुलगी ट) भाऊ 0) काका"
Ahmednagar_Police_Paper,66,"2, 9, 25, ?, 126, 217, 344 दिलेल्या मालिकेतील प्रश्‍नचिन्हाऐवजी ठेवण्यासाठी सर्वात उचित तर्कसंगत",पर्याय निवडा.,50,65,7082,,पर्याय निवडा. &ै) 50 1) 65 ९) 70 1) 82
Ahmednagar_Police_Paper,67,पुढील श्रेणी पुर्ण करण्यासाठी योग्य पर्याय निवडा.,९९९७७ _ 33_0८_७७७३३_८ म००७८,७०७०9 टो७०८२२,5९0७४,,,९९९७७ _ 33_0८_७७७३३_८ म००७८ ७) ७०७०9 टो७०८२२ ७) 5९0७४
Ahmednagar_Police_Paper,68,मेघाचे एका स्पर्या परिक्षेत 100 प्रश्‍न सोडविले. बरोबर उत्तरासाठी 3 गुण्ण दिले जातात आणि चुकीच्या,"उत्तरांसाठी 2 गुण वजा केले जातात. मेघाला एकूण ।50 गुण मिळाले, तर तिच्या बराबर उत्तरांची संख्या किती? को 0",50,60,75,,"उत्तरांसाठी 2 गुण वजा केले जातात. मेघाला एकूण ।50 गुण मिळाले, तर तिच्या बराबर उत्तरांची संख्या किती? को 0 ७) 50 €) 60 0७) 75"
Ahmednagar_Police_Paper,69,"एका सांकेतिक भाषेत !1()1४])/९१' हा शब्द ॥'1१९)९;1)1) असा लिहिला जातो, तर त्याच सांकेतिक भाषेत",1(50/.१' हा शब्द फसा लिहाल ?,एजमएठ७छ फो एकाए७छ ९0४७०००,४१0००७४,,,1(50/.१' हा शब्द फसा लिहाल ? &) एजमएठ७छ फो एकाए७छ ९0४७००० ७) ४१0००७४
Ahmednagar_Police_Paper,70,30 दिवसांच्या एका महिन्यात पाच शनिवार आहेत. न्या महिन्याचा प्रथम दिदस कोणता अभ्रेल ?,रविवार,सोमवार,बुधवार,शुक्रयार,,*) रविवार 0) सोमवार (7) बुधवार ७) शुक्रयार
Ahmednagar_Police_Paper,11,मारूती व त्यांच्या चार मुलांच्या वयांची सरासरी 18 आहे. सर्वांत लहाने मुलाचे वय 8 वर्ष आहे.,मुलांमध्ये 2-2 वर्षांचे अंतर आहे. तर मारूतीचे वय किती ?,,,,,मुलांमध्ये 2-2 वर्षांचे अंतर आहे. तर मारूतीचे वय किती ?
Ahmednagar_Police_Paper,5,१4 ७) 46 ९) 48 0७) 50,,,,,,
Ahmednagar_Police_Paper,12,ताशी सरासरी 45 कि.थी. वेगाने जाणारी एक ट्रेन निर्यारित ठिकाणी निर्धारित वेळेत पोहोचते. जर ती,"ताशी सरासरी 54 कि.मी, वेगाने गेल्यास निर्धारित वेळेपेक्षा 20 मिनिटे लवकर पोहचते, तर सिने कापावयाचे एकूण अंतर किती ?",,,,,"ताशी सरासरी 54 कि.मी, वेगाने गेल्यास निर्धारित वेळेपेक्षा 20 मिनिटे लवकर पोहचते, तर सिने कापावयाचे एकूण अंतर किती ?"
Ahmednagar_Police_Paper,5,"180 कि.मी. 9) 270 कि.मौ. ९) 75 कि.मौो. 0) 90 कि.मी,",,,,,,
Ahmednagar_Police_Paper,73,"खालील अंकमाला पाहा, तिच्यामध्ये असे किती '8' आहेत की, ज्या '8' नंतर लगेचच '3' आलेले आहेत,",परंतु '3' पुढे लगेचच '5' आलेले नाहीत ? 83083528328358360835634584,3,4,52 ठा सुरज हा शब्द कसा लिहिला जाईल !?47487798791,,परंतु '3' पुढे लगेचच '5' आलेले नाहीत ? 83083528328358360835634584 &) 3 1) 4 ट)5 ७) 2 ठा सुरज हा शब्द कसा लिहिला जाईल !? &) 47 ७) 487 ९) 798 0७) 791
Ahmednagar_Police_Paper,74,"एका सांकेतिक भाषेत गाजर हा शब्द 591, सुगावा हा शब्द 4४7, आणि वानर हा शब्द १48 असा लिहिल्यास",,,,,,
Ahmednagar_Police_Paper,२0,"तीन मित्र अ,ब ,क एका वर्तुळाकृती भैदानाभोवती धावुन एक फेरा अनुक्रमे 12 ,18,व 20 सेकंदात पुर्ण",करतात तर किती पिनियनंतर ते तिघे प्रारंभ विंदुत भेटतील ?,5मि,8 मि,12 मि3 मि,,करतात तर किती पिनियनंतर ते तिघे प्रारंभ विंदुत भेटतील ? &$) 5मि 8) 8 मि ८९) 12 मि 9) 3 मि
Ahmednagar_Police_Paper,21,एक काम पुर्ण करणेसाठी अनिलला 15 दिवस लागतात .तेच काम सुनिल 20 दिवसांत पुर्ण करतो.,"दोघांनी मिळुन चार दिवस काम केले,तर शिल्लक राहिलेला कामाचा भाग दाखवणारा पर्याय निदडा, 8 9 7 की",गड,ल ० 7,,,"दोघांनी मिळुन चार दिवस काम केले,तर शिल्लक राहिलेला कामाचा भाग दाखवणारा पर्याय निदडा, 8 9 7 की कै) गड 8) ल ० 7 9)"
Ahmednagar_Police_Paper,22,"एका संख्येतुन 5 वजा करुन 7 ने थागल्यास उत्तर 2 येते, तर त्या संख्येतुन 4 वजा करुन 3 चे भागल्यास",उत्तर किती येईल ?,5,6,78,,उत्तर किती येईल ? शै) 5 9) 6 ९) 7 9) 8
Ahmednagar_Police_Paper,0,नऊ क्रमवार विषम संख्याची सरासरी 103 आहे तर न्यातील सर्वात मोठया दोन संख्यांची ररासरी काय,असेल?,109,111,110)107,,असेल? &) 109 9) 111 (0) 110 1))107
Ahmednagar_Police_Paper,24,चहा बनवलेल्या दुघ व पाण्याच्या मिश्रणाचे गुणोत्तर 5 :।1 आहे यात 5 लीटर पाणी घातले तर हे गुण्पेत्तर,5:2 असे होते .या मिश्रणाची दुधाची राशी निवडा.,,,,,5:2 असे होते .या मिश्रणाची दुधाची राशी निवडा.
Ahmednagar_Police_Paper,5,15लौ ४) 25 ली 0 2ण्ली )10ली,,,,,,
Ahmednagar_Police_Paper,25,सीमा तिच्या वर्गातील सर्वात उत्तम असलेल्या धावकात 50 वी तसेच वाईट असलेल्या घावकातही 50 वी,आहे तर त्या वर्गातील विद्यार्थ्यांची एकुण संख्या दर्शविणारा पर्याय निवडा,,,,,आहे तर त्या वर्गातील विद्यार्थ्यांची एकुण संख्या दर्शविणारा पर्याय निवडा
Ahmednagar_Police_Paper,0,100 8)99 ९) 49 0)50,,,,,,
Ahmednagar_Police_Paper,26,नगर जिल्हयास लागुन किती जिल्ह्यांची सीमा आहे ?,पाच,सहा,आठ,भीत 2?) ऑलिम्पिक सुवर्ण पदक विजेता नीरज चोप्रा कोणत्या खेळाशी 'संबघीत आहेत ? *0 क्रिकेटघालाफेकलांबउडीगोळा फेक,,*) पाच ७) सहा ९) आठ ०) भीत 2?) ऑलिम्पिक सुवर्ण पदक विजेता नीरज चोप्रा कोणत्या खेळाशी 'संबघीत आहेत ? *0 क्रिकेट 8) घालाफेक ८0) लांबउडी ७) गोळा फेक
Ahmednagar_Police_Paper,९2,दहा टक्के आर्थिक दृच्ट्या दुर्बल घटकासाठी आरक्षणाची तरतुद कोणत्या घटन! दुरुस्ती अन्वये करण्यात,आली आहे?,,,,,आली आहे?
Ahmednagar_Police_Paper,१,) 103 8) 104 ९) 105 0) 102,,,,,,
Ahmednagar_Police_Paper,29,सध्या मुंबई शहराचे पोलीस आयुक्त कोण आहेत?,दत्ता पडसळगीकर॒,विवेक फणसाळकर॒() रजनिश शेठ,विश्वास नांगरे पाटोल,,,*) दत्ता पडसळगीकर॒ 8) विवेक फणसाळकर॒() रजनिश शेठ ०) विश्वास नांगरे पाटोल
Ahmednagar_Police_Paper,30,खालील पैकी कोणत्या लघु माहितीपटास ऑस्कर पुरस्कार मिळाला आहे?,""" द लायन व्हीस्परर""","“द टायगर व्होस्परर""","“द एलिफंट ळीस्परर""","""द चिता व्हीस्पएर"") कुनो नॅशनल पार्क कोणत्या राज्यात आहे?महाराष्ट्रआंध्र प्रदेशकेरळमध्य प्रदेश 3॥?७६९",,"॥.) "" द लायन व्हीस्परर"" 98) “द टायगर व्होस्परर"" ९) “द एलिफंट ळीस्परर"" 0) ""द चिता व्हीस्पएर"" 3]) कुनो नॅशनल पार्क कोणत्या राज्यात आहे? *) महाराष्ट्र 9) आंध्र प्रदेश 0) केरळ 0) मध्य प्रदेश 3॥?७६९"
Ahmednagar_Police_Paper,8,13 मीटर'ब 7 सेंटी मीटर > किती किलोमीटर?,,,,,,
Ahmednagar_Police_Paper,0,01307 किमी ४) 0001307 कि.मी 0) 0.01307 कि.मी 0)1.1307 कि.मी,,,,,,
Ahmednagar_Police_Paper,9,एका पाण्याचा हौद नळाने 10 तासांत भरतो. जर नळ फेक्त 3 तास चालला तर हौदाचा किती भाग,रिकामा राहीला र 10 0 3 50,*- रे 9,9)“ ० २6,,,रिकामा राहीला र 10 0 3 50 )*- रे 9 पी) 9)“ ० २6
Ahmednagar_Police_Paper,10,"अ एके काम 10 दिवसांत संपवितो ,तर ब्र तेच काम 20 दिवसांत संपवितो. जर अ ने 3 दिवस काम केले","व तो सोडुन गेला ,तर शिल्लेक काम ब किती दिवसांत पूर्ण करेल?",12,,,,"व तो सोडुन गेला ,तर शिल्लेक काम ब किती दिवसांत पूर्ण करेल? &) 12"
Ahmednagar_Police_Paper,8,14 ९) 16 0७)18,,,,,,
Ahmednagar_Police_Paper,11,"274 , 39 सट ,...?",ह. 2४%,2४/८,७४9,४८०,,ह. 2४% 8) 2४/८ ९) ७४9 9)४८०
Ahmednagar_Police_Paper,12,3 ने भाग जाणाऱ्या एकुण दोन अंकी संख्या किती १,,,,,,
Ahmednagar_Police_Paper,5,30 9) 33 ९) 10,,,,,,
Ahmednagar_Police_Paper,७,35,,,,,,
Ahmednagar_Police_Paper,13,ताशी 48 किमी वेगाने जाणारी माल गाडी 400 मी लांबीचा बोगदा 48 सेकदात पार करते .तर त्या,गाडोंची लांबी किती ?,,,,,गाडोंची लांबी किती ?
Ahmednagar_Police_Paper,4,540 मी,,,,,,
Ahmednagar_Police_Paper,७,340मी ९) २00 मी 1) 243 मी,,,,,,
Ahmednagar_Police_Paper,14,फर्निचरच्या तोन वस्तुची सरासरी किंपत रु 15000 आहे. जर त्या चस्तुंच्या किमतीचे गुणोत्तर 3:5:7 असे,"असल ,तर सर्वांत स्वस्त वस्तुची किंमत किती ?",रु 3000,रु 6000,रु 1२000,,"असल ,तर सर्वांत स्वस्त वस्तुची किंमत किती ? *) रु 3000 8) रु 6000 ९) रु 1२000"
Ahmednagar_Police_Paper,1,रु 9000,,,,,,
Ahmednagar_Police_Paper,15,सुशांतने व्याजाच्या दराइतक्या वर्षासाठी सरेळव्याजाने रु. 1600 कर्ज घेतले जर त्याने कर्ज फेटताना,रु. 784 व्याज दिले तर व्याजाचा दर काय होता ?,6,1,,,रु. 784 व्याज दिले तर व्याजाचा दर काय होता ? कै) 6 8) 1
Ahmednagar_Police_Paper,0,8 0)6 5,,,,,,
